chi,elevation
0,248.197502088548
0.0132802048366914,248.480575946719
0.0132802048366914,248.480575946719
0.0298815925898956,248.480575946719
0.0464829803430998,248.480575946719
0.0630844104238415,248.480575946719
0.0796858405045832,248.372685504925
0.0796858405045832,248.372685504925
0.0796858405045832,248.394242393071
0.103855284109927,248.25955192157
0.120456954053283,247.939589765488
0.120456954053283,247.867173455837
0.15366280580725,248
0.170265731684234,247.846565436013
0.186868968063916,247.493012045426
0.203472204443599,247.123195695558
0.220075440823281,247
0.236686530670333,247
0.253297620517385,247
0.253297620517385,247
0.286520337382369,247
0.303131695814862,247
0.303131695814862,247
0.336355034702147,247
0.35296670414579,247
0.35296670414579,247
0.386273022405556,247
0.402926181535439,247.103182032201
0.402926181535439,247.456735422788
0.436233497440541,247.822878500054
0.452887155393092,248
0.469540984381641,248
0.48619481337019,248.127022556178
0.50284864235874,248.480575946793
0.50284864235874,248.480575946793
0.50284864235874,248.510433446616
0.50284864235874,248.631701259129
0.50284864235874,248.43889419632
0.556911322260904,248.075090758754
0.573565407814063,247.996782339982
0.59021955038331,248.11677250918
0.606873692952557,248.431852290708
0.62352793530147,248.833055641768
0.640182177650384,249
0.640182177650384,249
0.640182177650384,249
0.659203597408301,249
0.67585785401161,249.237935259789
0.67585785401161,249.53011530454
0.709166452745071,249.331802173012
0.725820752111802,249
0.725820752111802,249
0.759130234664085,249
0.775784975940226,249.066113308996
0.775784975940226,249.131170305634
0.809094686587053,249
0.825749541910466,249.095042277942
0.842404582566064,249.117206055781
0.859059623221661,249
0.875714663877258,249
0.894250789632995,249
0.912786975767746,249
0.931323161902496,249
0.949859509051049,249
0.968395856199601,249
0.98693226372949,249
1.00546867125938,249
1.00546867125938,249
1.00546867125938,249
1.00546867125938,249.005875170744
1.00546867125938,249
1.07602406992772,249
1.09456079950212,249.018558272612
1.11309752907651,249.169338926152
1.13163454045464,249.076217140653
1.15017155183276,249
1.15017155183276,249.091064967552
1.18724597718267,249
1.20578318985763,249
1.20578318985763,249.034360628709
1.24285805807683,249
1.24285805807683,249
1.26141763837028,249
1.27997723887216,249
1.29853683937405,249
1.31709646008444,249
